banRate,champ,id,log,matches,patch,pickRate,rank,ranking,role,tier,winRate
,Aurelion Sol,,,3760,11.3,,Bronze,88,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.53
,Ahri,,,34612,11.3,,Bronze,89,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.49
,Twitch,,,18550,11.3,,Bronze,90,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.49
,Jinx,,,49970,11.3,,Bronze,91,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.48
,Sivir,,,14830,11.3,,Bronze,92,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.47
,Volibear,,,20309,11.3,,Bronze,93,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.46
,Veigar,,,31526,11.3,,Bronze,94,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.44
,Morgana,,,88040,11.3,,Bronze,95,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,50.38
,Nunu & Willump,,,30078,11.3,,Bronze,96,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.36
,Pantheon,,,27969,11.3,,Bronze,97,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.32
,Vladimir,,,13365,11.3,,Bronze,98,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.32
,Ziggs,,,9003,11.3,,Bronze,99,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.31
,Sett,,,58012,11.3,,Bronze,100,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.27
,Quinn,,,12946,11.3,,Bronze,101,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.26
,Jayce,,,3204,11.3,,Bronze,102,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.25
,Kennen,,,7495,11.3,,Bronze,103,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.21
,Kog'Maw,,,3633,11.3,,Bronze,104,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,50.18
,Heimerdinger,,,8856,11.3,,Bronze,105,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.16
,Fiddlesticks,,,14831,11.3,,Bronze,106,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.15
,Sett,,,6811,11.3,,Bronze,107,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.12
,Lissandra,,,3976,11.3,,Bronze,108,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.1
,Mordekaiser,,,51195,11.3,,Bronze,109,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.05
,Shaco,,,29328,11.3,,Bronze,110,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,50.04
,Neeko,,,10707,11.3,,Bronze,111,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,50.04
,Kayle,,,14445,11.3,,Bronze,112,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,50.04
,Viego,,,15123,11.3,,Bronze,113,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,50.02
,Jarvan IV,,,9121,11.3,,Bronze,114,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.97
,Lux,,,113120,11.3,,Bronze,115,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,49.96
,Ashe,,,70085,11.3,,Bronze,116,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,49.94
,Yasuo,,,14249,11.3,,Bronze,117,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.9
,Xerath,,,11863,11.3,,Bronze,118,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,49.85
,Wukong,,,6047,11.3,,Bronze,119,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.83
,Viego,,,61308,11.3,,Bronze,120,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.81
,Rengar,,,4517,11.3,,Bronze,121,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.75
,Warwick,,,5261,11.3,,Bronze,122,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.71
,Tryndamere,,,25311,11.3,,Bronze,123,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.66
,Vayne,,,18748,11.3,,Bronze,124,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.53
,Trundle,,,7106,11.3,,Bronze,125,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.51
,Cassiopeia,,,10114,11.3,,Bronze,126,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,49.5
,Gnar,,,26442,11.3,,Bronze,127,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.46
,Kayn,,,80214,11.3,,Bronze,128,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.4
,Jax,,,23981,11.3,,Bronze,129,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.38
,Jax,,,28101,11.3,,Bronze,130,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,49.36
,Tahm Kench,,,6030,11.3,,Bronze,131,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.32
,Katarina,,,47329,11.3,,Bronze,132,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,49.28
,Lulu,,,19838,11.3,,Bronze,133,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,49.26
,Maokai,,,3764,11.3,,Bronze,134,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.23
,Shen,,,4430,11.3,,Bronze,135,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,49.21
,Fiora,,,20535,11.3,,Bronze,136,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,49.1
,Braum,,,10044,11.3,,Bronze,137,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,49.01
,Lillia,,,15452,11.3,,Bronze,138,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.99
,Darius,,,53983,11.3,,Bronze,139,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.98
,Zed,,,64716,11.3,,Bronze,140,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,48.96
,Varus,,,16339,11.3,,Bronze,141,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.95
,Samira,,,61230,11.3,,Bronze,142,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.84
,Soraka,,,18428,11.3,,Bronze,143,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.83
,Yone,,,13937,11.3,,Bronze,144,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.8
,Malphite,,,21215,11.3,,Bronze,145,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.8
